Delta Taxon ~ Delta Clinical			
N_STOOLS 			
delta_clinical ~ delta_taxa:			
	pvals	adj.pvals	coeffs
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__	0.780952459	0.996846273	-8.578007721
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc	0.614445827	0.962744566	-33.73199008
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	0.986135187	0.9974775	-0.180180031
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	0.557321027	0.962744566	4.193230166
k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter	0.532112277	0.962744566	-5.199348898
k__Bacteria;p__Firmicutes;c__Clostridia;Other;Other;Other	0.438466103	0.962744566	41.42181855
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other	0.110858401	0.772382085	6.215522995
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__	0.276904184	0.961020402	-2.195254718
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__	0.753576162	0.996846273	1.125983392
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Christensenellaceae;g__Christensenella	0.078267456	0.710427676	-74.0914507
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;Other	0.207490988	0.888290724	19.08662979
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__	0.018832442	0.609098299	17.11040795
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium	0.065509622	0.710427676	13.23893796
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__SMB53	0.971502724	0.996846273	0.666959317
