	PD_whole_tree	chao1	observed_otus
Sample.84.1	77.90416	1610.20100503	1116.0
Sample.49.2	62.39682	1205.84	857.0
Sample.51.2	76.66104	1197.4921466	915.0
Sample.3.1	76.31596	1630.33536585	981.0
Sample.44.1	107.33592	2399.03676471	1580.0
Sample.34.2	64.69964	1567.5	964.0
Sample.57.2	82.16059	1664.12444444	1168.0
Sample.84.2	70.99631	1301.07142857	976.0
Sample.67.2	71.69719	1187.2278481	888.0
Sample.77.2	72.76327	1469.37951807	1067.0
Sample.13.2	73.81266	1565.33149171	1039.0
Sample.65.2	57.1253	1035.0	746.0
Sample.59.2	46.23022	985.168	722.0
Sample.47.1	62.74092	1214.75	733.0
Sample.22.1	71.94866	1435.81560284	917.0
Sample.108.1	41.85571	1029.04651163	764.0
Sample.51.1	99.27544	2007.35	1433.0
Sample.108.2	45.82306	1032.09090909	791.0
Sample.71.1	60.04515	1230.34482759	865.0
Sample.105.1	41.13306	788.443298969	524.0
Sample.67.1	62.40012	990.654676259	739.0
Sample.105.2	51.43141	1125.11290323	761.0
Sample.89.2	79.43066	1578.69230769	1203.0
Sample.99.1	40.08225	799.943181818	560.0
Sample.62.2	39.38061	794.0	612.0
Sample.71.2	52.63643	1028.39130435	674.0
Sample.65.1	62.27181	1101.88679245	831.0
Sample.74.1	53.36937	1244.32142857	900.0
Sample.20.1	63.65016	1185.47093023	885.0
Sample.69.2	47.37399	671.463414634	475.0
Sample.88.2	49.24073	1101.04026846	810.0
Sample.25.1	77.26087	1467.00653595	927.0
Sample.75.1	54.90329	1299.82758621	914.0
Sample.48.1	67.9757	1332.73943662	852.0
Sample.87.2	72.68749	1460.92090395	1001.0
Sample.89.1	51.79246	890.185840708	651.0
Sample.74.2	51.27294	1122.68571429	849.0
Sample.103.1	52.15053	963.93006993	723.0
Sample.54.2	61.08487	1102.765625	731.0
Sample.106.2	56.19837	1160.59124088	795.0
Sample.92.1	35.2959	722.670731707	537.0
Sample.47.2	64.51671	1199.50359712	780.0
Sample.92.2	32.29932	662.0	495.0
Sample.88.1	40.04719	895.184210526	654.0
Sample.23.2	73.0898	1430.25595238	960.0
Sample.31.1	47.32447	982.134328358	525.0
Sample.106.1	52.15102	1038.28571429	734.0
Sample.99.2	21.55367	357.529411765	255.0
