ARA	ARB	ARC	Acetate	Propionate	Butyrate	Valerate	timepoint
Sample.86.1	14.3576	2.6424	2.6529	17.282	4.0922	2.9049	1.8487	1
Sample.103.1	5.6136	0.5132	1.7557	17.3579	0.9972	2.0514	1.1413	1
Sample.98.1	2.4946	0.3736	0.4517	24.0772	11.923	2.5374	2.0765	1
Sample.100.1	3.9038	0.3736	5.9945	13.8496	0.4906	0.6741	0.6155	1
Sample.95.1	7.2454	0.3736	4.5339	15.9305	4.0457	3.3631	1.9577	1
Sample.107.1	39.9669	0.3736	6.2781	24.2211	7.8447	4.911	3.0231	1
Sample.108.1	7.5162	0.3736	0.2992	36.9585	17.8316	11.776	0.2003	1
Sample.14.1	2.3689	4.383	0.1	21.5574	2.0602	9.0566	1.8147	1
Sample.91.1	2.875	10.1582	2.4747	15.3543	5.3048	1.8202	1.047	1
Sample.23.1	0.8489	1.635	0.1	18.4396	4.3336	5.4181	3.6365	1
Sample.65.1	7.5482	35.2978	10.8626	19.4528	5.1027	15.3674	3.9501	1
Sample.3.1	1.0971	0.1	0.1	21.0849	2.6778	3.3747	2.3244	1
Sample.12.1	2.4268	2.5651	0.1	21.63	2.9121	11.279	5.9771	1
Sample.24.1	2.0488	5.0744	1.3824	NA	NA	NA	NA	1
Sample.5.1	1.1989	0.1	0.1	27.6915	8.686	4.4549	0.648	1
Sample.7.1	2.8049	12.0086	2.3807	19.1319	2.0326	3.6137	2.3333	1
Sample.11.1	1.7442	2.4259	0.1	21.5412	4.7634	4.3813	1.2993	1
Sample.20.1	2.9974	5.8471	3.3582	24.5713	10.1598	14.5791	3.478	1
Sample.31.1	5.0296	13.2151	3.6249	24.8169	3.7787	2.8105	1.1706	1
Sample.37.1	3.1257	6.5099	0.1	15.2965	4.7302	7.1752	2.2492	1
Sample.53.1	1.1943	2.8864	1.0736	17.6406	4.8807	5.2009	3.4392	1
Sample.69.1	1.6638	2.5538	0.5396	25.2878	19.7747	3.7529	4.3522	1
Sample.28.1	0.1	0.1	0.1	13.941	3.516	2.6859	2.6548	1
Sample.27.1	0.1	0.1	0.1	17.2793	3.1142	3.9126	1.6617	1
Sample.29.1	8.548	11.4647	0.1	27.4887	4.5712	3.284	0.1767	1
Sample.35.1	3.2864	6.7367	0.1	10.9625	1.0935	1.0393	1.1669	1
Sample.45.1	0.64	2.2982	0.7092	11.5998	2.2052	2.2458	1.5073	1
Sample.59.1	3.2918	5.5395	1.2523	21.1383	12.6796	5.4977	0.231	1
Sample.41.1	1.474	3.0639	0.1	NA	NA	NA	NA	1
Sample.44.1	1.1447	1.8443	0.1	15.4923	1.4285	1.7692	1.4677	1
Sample.101.1	1.3793	3.2328	1.4803	14.1664	1.9807	2.38	1.7752	1
Sample.48.1	4.7388	15.2782	4.4926	17.3177	3.5815	3.3675	2.2444	1
Sample.47.1	5.3797	8.724	1.8399	17.596	3.3497	4.1413	1.7267	1
Sample.54.1	1.3949	1.9861	1.4159	41.04	13.4797	9.6157	8.2898	1
Sample.62.1	1.4813	2.2206	2.4341	43.1088	4.1235	7.9394	0.3172	1
Sample.57.1	3.1156	7.5497	1.8675	19.566	5.0653	3.2849	3.0335	1
Sample.61.1	4.2625	3.5607	0.9623	16.0956	0.1808	2.5107	2.9166	1
Sample.70.1	0.882	0.3736	1.1575	26.376	7.7397	2.7866	1.5253	1
Sample.74.1	0.8222	0.9459	0.5094	37.9426	8.6951	21.7772	0.4678	1
Sample.72.1	1.8911	1.2996	0.5678	22.7181	3.1984	2.3451	2.1631	1
Sample.75.1	1.736	1.9993	0.3362	21.8706	6.7334	9.0804	0.3637	1
Sample.79.1	1.8232	3.5852	0.5718	19.3082	6.2858	4.911	3.0231	1
Sample.88.1	2.0364	1.2758	1.2205	26.917	0.1165	0.6817	0.0748	1
Sample.96.1	11.812	3.8912	1.8113	20.2538	4.9793	3.9867	2.8482	1
Sample.102.1	11.51	0.4181	0.2992	15.7028	3.1545	1.8552	1.7749	1
Sample.89.1	13.7783	3.1753	0.4809	20.7948	2.3411	4.6587	2.0414	1
Sample.92.1	3.9664	7.9608	1.3016	33.4709	19.0287	9.2336	0.2452	1
Sample.106.1	2.9997	0.6406	3.9927	18.0361	5.4302	4.3702	2.2393	1
Sample.18.2	2.784	6.12	1.5777	20.4575	4.5392	3.0861	4.4104	2
Sample.9.2	6.6381	15.945	2.9887	15.8334	1.9709	2.666	2.03838	2
Sample.33.2	0.1	0.1	0.1	19.0833	3.7066	3.5384	1.65568	2
Sample.1.2	1.7415	1.941	2.2634	20.9851	0.3302	4.1233	1.33723	2
Sample.17.2	3.1951	6.415	0.7631	13.0923	1.0981	1.1188	1.14435	2
Sample.56.2	1.3455	3.431	1.1998	24.5624	6.0322	4.0833	3.26479	2
Sample.80.2	1.6481	4.061	1.4466	14.3839	1.4586	3.072	1.16038	2
Sample.4.2	0.2018	0.1	0.1	12.8636	1.011	0.743	1.60048	2
Sample.19.2	1.8428	2.766	0.1	10.9498	1.4276	1.3028	1.08044	2
Sample.2.2	2.7916	3.838	0.1	29.3021	6.5046	7.5892	3.35624	2
Sample.42.2	2.9441	5.842	0.7979	16.2836	2.049	5.183	1.36397	2
Sample.8.2	5.2657	7.792	0.1	19.6313	5.0097	5.102	4.8638	2
Sample.10.2	1.477	1.931	0.1	14.9968	15.1092	15.3485	9.47308	2
Sample.15.2	4.6867	12.618	2.4654	23.99	8.5777	6.6791	3.38032	2
Sample.49.2	2.3078	8.292	2.3057	23.7759	1.0281	4.3451	1.34146	2
Sample.22.2	6.5576	30.435	10.254	13.9671	3.0515	4.611	2.52102	2
Sample.38.2	2.1781	5.723	1.3173	21.0293	3.8707	11.0828	2.85858	2
Sample.77.2	2.204	1.886	0.7518	14.819	2.475	2.1937	2.0996	2
Sample.34.2	6.9915	9.824	0.1	22.1611	3.9338	7.9032	1.82248	2
Sample.40.2	1.9686	4.047	0.96	28.2005	10.0604	9.6746	3.77824	2
Sample.55.2	1.9511	5.712	1.8176	26.1359	3.0086	5.745	1.61806	2
Sample.46.2	1.865	4.203	0.5196	18.5932	1.6704	2.1937	1.11482	2
Sample.52.2	7.2188	9.674	1.6315	18.2506	1.5969	2.2161	1.46036	2
Sample.67.2	4.2986	3.01	1.0558	14.3841	2.4688	1.5927	1.76759	2
Sample.51.2	1.3199	2.4	0.7939	25.6977	3.5618	2.8097	2.64297	2
Sample.58.2	2.0852	13.454	4.8014	18.1753	1.5094	3.8303	3.75885	2
Sample.63.2	3.0435	1.578	1.0005	14.5819	2.4433	9.9936	3.75602	2
Sample.73.2	2.3028	2.742	0.4002	20.0259	3.0571	4.0113	2.67199	2
Sample.71.2	14.8655	23.552	2.193	17.2509	2.6125	4.501	1.57354	2
Sample.84.2	3.0683	3.088	0.6071	16.6794	2.3346	3.9786	1.7881	2
Sample.81.2	4.7518	1.519	3.3226	21.8077	0.4465	0.7429	0.53918	2
Sample.83.2	3.6538	6.681	1.1802	19.9298	1.8784	2.4086	1.54118	2
Sample.90.2	3.1309	3.219	3.6475	13.3947	3.6483	2.906	1.62677	2
Sample.86.2	11.7431	1.33	0.5512	17.7025	2.6348	3.5234	2.43671	2
Sample.103.2	4.9878	4.583	0.6016	9.94	0.6324	0.3331	0.48746	2
Sample.98.2	18.5213	0.374	0.8902	29.6826	7.7013	9.2909	7.56184	2
Sample.100.2	3.0782	1.583	2.1771	10.1279	0.3046	0.4851	0.76676	2
Sample.95.2	14.3982	1.112	3.2609	16.3429	2.6048	2.9247	1.88913	2
Sample.107.2	15.2936	0.568	0.2992	34.6226	5.0627	5.672	1.5792	2
Sample.108.2	10.6173	4.023	6.3238	28.2324	11.5242	7.4214	0.43354	2
Sample.14.2	20.7911	42.496	7.4902	20.4936	1.3201	3.1086	0.95393	2
Sample.91.2	15.4749	50.972	11.4702	24.4268	3.4194	2.2954	1.5271	2
Sample.23.2	1.1078	0.1	0.1	17.4243	2.791	5.555	2.31075	2
Sample.65.2	56.7554	197.749	41.1606	18.816	3.2886	9.1874	2.0082	2
Sample.3.2	22.4507	40.813	4.7323	18.1309	1.7197	4.0729	1.32127	2
Sample.12.2	32.5068	53.527	5.8874	22.9309	1.8713	1.8884	0.61749	2
Sample.24.2	14.0868	32.27	4.4214	NA	NA	NA	NA	2
Sample.5.2	7.9136	17.499	2.5994	30.841	5.607	7.7373	1.02559	2
Sample.7.2	11.9476	38.313	6.0552	18.6518	1.3023	2.6503	2.38723	2
Sample.11.2	17.3086	54.098	12.5602	33.1722	3.0691	9.0251	1.80633	2
Sample.20.2	15.2881	43.402	9.5435	32.0298	6.5606	34.6996	3.54016	2
Sample.31.2	57.2462	135.536	20.9433	32.6395	2.432	2.2914	0.57876	2
Sample.37.2	31.0773	49.33	4.6986	14.3303	3.0476	4.7269	1.83986	2
Sample.53.2	18.4611	54.105	11.3583	16.0088	3.145	4.5587	2.91771	2
Sample.69.2	3.1005	4.197	0.7414	22.7329	12.7814	4.6844	8.0134	2
Sample.28.2	16.4695	29.911	3.497	16.0794	2.262	1.4691	0.18846	2
Sample.27.2	5.958	8.605	0.1	14.4396	2.0021	2.6767	1.30171	2
Sample.29.2	82.5471	155.041	18.8791	33.2475	2.9448	8.6413	0.12184	2
Sample.35.2	32.046	55.46	6.3898	11.5492	0.6947	1.0658	0.99084	2
Sample.45.2	4.6565	6.829	1.4175	13.1515	1.4139	2.2597	1.83898	2
Sample.59.2	24.0002	71.739	12.9447	20.364	8.1909	8.4598	6.33287	2
Sample.41.2	6.5518	10.437	1.3026	NA	NA	NA	NA	2
Sample.44.2	13.4985	30.509	6.4574	15.263	0.9114	1.078	1.08719	2
Sample.101.2	6.6726	18.029	3.5371	15.0341	1.2687	2.9069	1.38607	2
Sample.48.2	29.6446	96.167	19.0502	16.0355	2.3044	1.4696	1.64228	2
Sample.47.2	20.3752	38.133	5.3997	20.7985	2.1544	2.9846	1.41545	2
Sample.54.2	19.4772	73.944	18.255	29.9257	8.7085	5.7747	3.71796	2
Sample.62.2	29.1541	58.477	9.3183	42.887	2.6551	11.0677	0.16669	2
Sample.57.2	8.2536	12.452	3.0775	15.0222	3.2644	5.0134	1.83688	2
Sample.61.2	47.489	70.351	6.2678	37.4705	0.1041	1.9534	0.05873	2
Sample.70.2	22.9152	53.811	8.0341	34.7724	4.9947	6.4795	3.11827	2
Sample.74.2	38.2283	64.736	5.7441	23.1388	5.6129	9.5358	0.55909	2
Sample.72.2	14.6815	35.636	4.2679	21.0506	2.0565	3.1798	1.57332	2
Sample.75.2	24.9558	36.304	3.4675	27.9702	4.3437	9.9767	2.44296	2
Sample.79.2	27.7864	47.329	3.5368	23.0326	4.0541	4.2505	1.79473	2
Sample.88.2	23.3094	23.837	1.9494	26.9912	0.0626	1.4781	0.12558	2
Sample.96.2	39.7283	55.369	5.0914	16.92	3.2088	4.0978	4.24448	2
Sample.102.2	18.6096	9.302	3.5777	13.9409	2.0281	3.502	3.55624	2
Sample.89.2	3.8455	0.417	0.68	17.0518	1.5019	2.6337	1.49389	2
Sample.92.2	75.9879	45.806	2.2542	28.9099	12.2988	12.7544	0.69702	2
Sample.106.2	28.5871	17.64	1.4174	13.5735	3.5005	4.0633	1.69464	2
